NomenCode,Reporter_ISO_N,Year,ProductCode,Sum_Of_Rates,Min_Rate,Max_Rate,SimpleAverage,Nbr_NA_Lines,Nbr_Free_Lines,Nbr_AVE_Lines,Nbr_Dutiable_Lines,TotalNoOfValidLines,TotalNoOfLines
H3,918,2010,010110,     15.40,      0.00,      7.70,      5.13,0,1,0,2,3,3
H3,918,2010,010190,     30.10,      0.00,     11.50,      7.53,0,1,0,3,4,4
H3,918,2010,010210,      0.00,      0.00,      0.00,      0.00,0,3,0,0,3,3
H3,918,2010,010290,      0.00,      0.00,      0.00,      0.00,41,1,0,0,1,42
H3,918,2010,010310,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2010,010391,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2010,010392,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2010,010410,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2010,010420,      3.20,      3.20,      3.20,      3.20,1,0,0,1,1,2
H3,918,2010,010511,,,,,4,0,0,0,0,4
H3,918,2010,010512,,,,,1,0,0,0,0,1
H3,918,2010,010519,,,,,2,0,0,0,0,2
H3,918,2010,010594,,,,,1,0,0,0,0,1
H3,918,2010,010599,,,,,4,0,0,0,0,4
H3,918,2010,010611,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2010,010612,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2010,010619,      3.80,      0.00,      3.80,      1.90,0,1,0,1,2,2
H3,918,2010,010620,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2010,010631,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2010,010632,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2010,010639,      6.40,      0.00,      6.40,      3.20,0,1,0,1,2,2
H3,918,2010,010690,      0.00,      0.00,      0.00,      0.00,0,1,0,0,1,1
H3,918,2010,020110,,,,,3,0,0,0,0,3
H3,918,2010,020120,,,,,11,0,0,0,0,11
H3,918,2010,020130,,,,,2,0,0,0,0,2
H3,918,2010,020210,,,,,2,0,0,0,0,2
H3,918,2010,020220,,,,,11,0,0,0,0,11
H3,918,2010,020230,,,,,16,0,0,0,0,16
H3,918,2010,020311,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
H3,918,2010,020312,      0.00,      0.00,      0.00,      0.00,2,1,0,0,1,3
H3,918,2010,020319,      0.00,      0.00,      0.00,      0.00,8,1,0,0,1,9
H3,918,2010,020321,      0.00,      0.00,      0.00,      0.00,1,1,0,0,1,2
