Country Name,Country Code,year,Balance des transactions courantes en pourcentage du PIB,Cours des actions,"Importations de biens et services, volume",M3,Prix à la consommation,Production volume,"Produit intérieur brut, volume",Taux de change nominal,Taux de chômage,tariff,tariff_lag1,delta_tariff
Argentina,ARG,1988,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.0008752604166666,7.2279543,12.66,,
Argentina,ARG,1989,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.0423339608333333,7.2279543,12.66,12.66,0.0
Argentina,ARG,1990,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.487589083333333,7.2279543,12.66,12.66,0.0
Argentina,ARG,1991,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.953554416666666,7.2279543,12.66,12.66,0.0
Argentina,ARG,1992,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.990641666666667,7.2279543,12.66,12.66,0.0
Argentina,ARG,1993,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.9988957891932688,7.2279543,12.53,12.66,-0.13000000000000078
Argentina,ARG,1994,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.9989177368460224,7.2279543,11.969999999999999,12.53,-0.5600000000000005
Argentina,ARG,1995,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,1.0005431726826783,7.2279543,11.41,11.969999999999999,-0.5599999999999987
Argentina,ARG,1995,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,1.0005431726826783,7.2279543,8.34,11.41,-3.0700000000000003
Argentina,ARG,1996,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,1.0000604494119616,7.2279543,13.4,8.34,5.0600000000000005
Argentina,ARG,1996,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,1.0000604494119616,7.2279543,13.33,13.4,-0.07000000000000028
Argentina,ARG,1997,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.9999848712284228,7.2279543,13.93,13.33,0.5999999999999996
Argentina,ARG,1998,2.8473640039751142,-13.0859467605299,17.584398315727285,10.794519008139535,34.2772237131004,31.22718006104785,4.443886742733185,0.99984180697355,7.2279543,15.67,13.93,1.7400000000000002
